# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
35             	9.2381403e-01	4.6979414e-01	4.5401990e-01	-1.5774239e+00	-1.1045924e+00	-4.7283142e-01	-3.1588051e-01	7.8871193e-03	4.6190702e-03	1.6518781e-19	4.6190702e-03	-4.6190702e-03
36             	9.3146259e-01	4.7368594e-01	4.5777666e-01	-1.5909278e+00	-1.1173062e+00	-4.7362165e-01	-3.2184226e-01	7.9546391e-03	4.6573130e-03	1.7491140e-19	4.6573130e-03	-4.6573130e-03
37             	8.8741994e-01	4.5129086e-01	4.3612908e-01	-1.5161782e+00	-1.0880379e+00	-4.2814033e-01	-3.2994879e-01	7.5808912e-03	4.4370997e-03	1.7194223e-19	4.4370997e-03	-4.4370997e-03
38             	8.2004359e-01	4.1703059e-01	4.0301300e-01	-1.4017588e+00	-1.0386455e+00	-3.6311328e-01	-3.3776610e-01	7.0087938e-03	4.1002179e-03	1.7060197e-19	4.1002179e-03	-4.1002179e-03
39             	7.5630357e-01	3.8462093e-01	3.7168265e-01	-1.2938279e+00	-9.9060041e-01	-3.0322752e-01	-3.4368644e-01	6.4691396e-03	3.7815179e-03	1.8155926e-19	3.7815179e-03	-3.7815179e-03
40             	7.1329552e-01	3.6275582e-01	3.5053970e-01	-1.2216122e+00	-9.5775617e-01	-2.6385604e-01	-3.4695006e-01	6.1080611e-03	3.5664776e-03	1.7944754e-19	3.5664776e-03	-3.5664776e-03
41             	6.9710157e-01	3.5452739e-01	3.4257418e-01	-1.1953210e+00	-9.4554812e-01	-2.4977284e-01	-3.4788764e-01	5.9766048e-03	3.4855078e-03	1.8289016e-19	3.4855078e-03	-3.4855078e-03
42             	7.0472225e-01	3.5840957e-01	3.4631268e-01	-1.2096891e+00	-9.5225596e-01	-2.5743319e-01	-3.4741138e-01	6.0484457e-03	3.5236113e-03	1.9211242e-19	3.5236113e-03	-3.5236113e-03
43             	7.2788672e-01	3.7019711e-01	3.5768961e-01	-1.2507493e+00	-9.7125240e-01	-2.7949688e-01	-3.4587776e-01	6.2537464e-03	3.6394336e-03	1.9235780e-19	3.6394336e-03	-3.6394336e-03
44             	7.5646941e-01	3.8474010e-01	3.7172931e-01	-1.3010785e+00	-9.9451718e-01	-3.0656134e-01	-3.4397792e-01	6.5053926e-03	3.7823470e-03	1.8812068e-19	3.7823470e-03	-3.7823470e-03
